"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","121","545","42","101","98","10","18.2 %","20.2 %",".367",".304",".297",".440",".664",".443","185","6.6","66.0","1.8","8.4","10155"
"Cody Bellinger","Dodgers","122","522","42","100","100","10","14.2 %","16.3 %",".354",".311",".320",".418",".673",".435","174","0.2","51.4","3.7","7.0","15998"
"Christian Yelich","Brewers","112","500","41","88","89","24","12.8 %","20.6 %",".361",".353",".333",".424",".693",".444","174","5.0","54.6","-3.9","6.5","11477"
"Ketel Marte","Diamondbacks","120","534","26","84","74","8","8.4 %","14.0 %",".251",".333",".319",".380",".569",".392","140","3.0","31.5","9.0","5.6","13613"
"Xander Bogaerts","Red Sox","123","556","27","95","94","4","11.0 %","18.0 %",".253",".338",".308",".383",".561",".390","141","2.0","31.5","6.6","5.6","12161"
"Alex Bregman","Astros","121","540","30","94","83","4","17.0 %","12.8 %",".276",".266",".279",".407",".555",".399","156","-2.2","36.6","1.1","5.5","17678"
"Rafael Devers","Red Sox","124","550","27","103","101","8","6.9 %","16.2 %",".262",".356",".329",".377",".592",".396","145","1.1","33.1","3.3","5.4","17350"
"Anthony Rendon","Nationals","111","488","27","89","98","3","9.8 %","14.1 %",".286",".327",".322",".400",".608",".410","151","0.6","34.1","3.6","5.2","12861"
"Ronald Acuna Jr.","Braves","126","583","35","105","85","29","9.8 %","24.5 %",".241",".348",".296",".376",".537",".381","133","5.5","31.0","1.7","5.0","18401"
"Marcus Semien","Athletics","126","579","21","90","59","7","11.7 %","14.3 %",".208",".291",".273",".359",".481",".354","124","0.8","18.6","12.0","4.9","12533"
"Matt Chapman","Athletics","122","522","29","81","70","0","10.3 %","20.7 %",".270",".277",".259",".343",".529",".361","129","0.1","19.2","13.3","4.9","16505"
"Mookie Betts","Red Sox","126","593","21","115","65","13","14.8 %","15.0 %",".218",".305",".284",".390",".502",".372","129","4.2","26.1","2.6","4.8","13611"
"Trevor Story","Rockies","113","511","28","91","74","17","8.4 %","25.4 %",".277",".355",".296",".362",".573",".385","122","5.1","20.1","11.1","4.6","12564"
"J.T. Realmuto","Phillies","119","473","19","75","66","7","6.8 %","22.6 %",".203",".324",".277",".328",".480",".336","105","5.4","8.8","23.3","4.6","11739"
"DJ LeMahieu","Yankees","113","508","21","87","86","4","7.1 %","13.6 %",".202",".359",".338",".385",".540",".386","142","-0.2","27.0","2.7","4.6","9874"
"Kris Bryant","Cubs","119","522","25","89","61","2","11.7 %","21.3 %",".243",".329",".286",".385",".529",".383","136","3.2","28.3","0.7","4.5","15429"
"George Springer","Astros","93","434","27","73","68","5","11.5 %","19.8 %",".277",".311",".293",".378",".569",".390","150","1.1","28.8","1.7","4.4","12856"
"Michael Brantley","Astros","118","517","18","76","76","3","8.1 %","10.1 %",".206",".345",".334",".393",".540",".388","149","0.7","33.0","-6.0","4.4","4106"
"Javier Baez","Cubs","122","517","28","84","81","10","4.4 %","27.5 %",".256",".346",".285",".315",".541",".349","114","2.9","12.6","14.4","4.2","12979"
"Peter Alonso","Mets","124","530","40","76","97","1","11.1 %","25.3 %",".333",".293",".271",".374",".603",".398","151","-0.9","35.3","-8.8","4.2","19251"
"Carlos Santana","Indians","123","535","29","89","78","4","17.0 %","15.0 %",".253",".296",".290",".411",".543",".395","145","0.5","31.7","-7.4","4.2","2396"
"Max Muncy","Dodgers","121","503","32","85","86","3","14.9 %","23.7 %",".276",".282",".260",".374",".536",".378","136","2.0","26.4","-1.5","4.0","13301"
"Yoan Moncada","White Sox","97","409","20","58","59","7","7.6 %","27.6 %",".234",".382",".301",".358",".535",".370","134","4.0","21.8","5.1","4.0","17232"
"Yasmani Grandal","Brewers","118","479","20","55","61","5","15.7 %","20.9 %",".213",".287",".254",".376",".467",".357","118","-3.6","7.7","17.7","4.0","11368"
"Max Kepler","Twins","116","526","34","87","84","1","10.1 %","16.0 %",".280",".243",".256",".337",".537",".360","123","-2.0","13.8","8.5","3.9","12144"
"Francisco Lindor","Indians","107","491","21","73","53","18","7.5 %","14.7 %",".220",".314",".298",".353",".518",".358","120","0.0","12.8","10.1","3.9","12916"
"Freddie Freeman","Braves","126","562","33","99","102","5","12.6 %","18.1 %",".270",".330",".307",".399",".576",".401","146","0.0","34.6","-13.2","3.8","5361"
"Josh Donaldson","Braves","123","521","29","73","73","3","14.4 %","24.0 %",".265",".309",".267",".382",".532",".381","133","-3.1","20.0","1.7","3.8","5038"
"Juan Soto","Nationals","114","504","28","79","83","12","15.5 %","19.8 %",".267",".318",".290",".401",".557",".397","143","-0.4","28.5","-6.6","3.7","20123"
"Jeff McNeil","Mets","105","442","15","67","55","4","6.3 %","14.0 %",".196",".366",".332",".400",".529",".391","147","-2.4","25.3","-1.7","3.7","15362"
"Nolan Arenado","Rockies","124","529","31","81","96","2","8.5 %","13.4 %",".255",".296",".302",".361",".557",".373","114","1.9","11.9","8.6","3.7","9777"
"Jorge Polanco","Twins","120","562","19","81","66","4","8.5 %","15.5 %",".202",".323",".296",".358",".498",".357","121","1.6","17.1","-0.5","3.5","13152"
"Anthony Rizzo","Cubs","121","518","25","77","79","5","11.8 %","14.5 %",".240",".298",".288",".400",".528",".389","140","-4.2","23.2","-4.0","3.5","3473"
"Paul DeJong","Cardinals","122","512","22","80","57","6","8.8 %","20.9 %",".209",".274",".247",".326",".456",".329","103","1.8","3.7","14.5","3.4","18015"
"Ozzie Albies","Braves","126","550","18","79","68","12","7.5 %","15.8 %",".200",".324",".294",".349",".494",".351","113","3.5","13.2","3.1","3.3","16556"
"Hunter Dozier","Royals","104","441","22","60","69","2","10.7 %","23.1 %",".266",".333",".287",".365",".553",".377","136","-0.5","19.7","-0.9","3.3","15117"
"Eduardo Escobar","Diamondbacks","124","549","28","78","100","5","7.7 %","18.8 %",".257",".284",".271",".326",".528",".348","111","3.6","11.9","2.1","3.1","6153"
"Brian Anderson","Marlins","123","510","20","55","65","5","8.4 %","21.8 %",".211",".307",".264",".343",".475",".344","115","-0.9","9.5","5.6","3.1","18289"
"Bryce Harper","Phillies","124","547","26","76","90","7","15.4 %","26.5 %",".239",".313",".254",".373",".492",".360","121","-2.8","12.9","0.8","3.1","11579"
"Christian Vazquez","Red Sox","108","407","18","53","53","2","5.7 %","20.4 %",".201",".313",".280",".319",".480",".330","100","-3.0","-2.8","19.6","3.0","9774"
"Nick Ahmed","Diamondbacks","125","493","17","69","70","7","8.7 %","17.8 %",".195",".298",".273",".333",".468",".333","102","2.9","3.9","10.8","3.0","12147"
"Justin Turner","Dodgers","116","474","22","73","57","2","9.5 %","16.2 %",".213",".318",".298",".380",".511",".374","134","-1.8","19.6","-4.9","2.9","5235"
"Tommy Pham","Rays","113","513","19","58","54","14","13.5 %","19.1 %",".189",".303",".267",".370",".456",".351","122","0.6","15.0","-2.7","2.9","2967"
"Ramon Laureano","Athletics","107","419","21","67","58","12","5.3 %","27.0 %",".234",".344",".284",".334",".518",".352","122","4.2","16.2","-0.7","2.9","17128"
"Gleyber Torres","Yankees","115","480","29","80","73","4","9.0 %","20.4 %",".249",".300",".281",".347",".530",".361","125","-0.9","14.5","-1.1","2.9","16997"
"Brett Gardner","Yankees","109","418","17","67","50","9","10.3 %","16.5 %",".230",".269",".254",".335",".484",".342","112","4.4","11.0","4.2","2.9","9927"
"Yuli Gurriel","Astros","117","503","25","70","88","4","5.4 %","10.5 %",".242",".299",".306",".344",".548",".367","134","-1.7","20.2","-8.1","2.9","19198"
"Michael Conforto","Mets","115","497","27","68","75","6","12.9 %","22.1 %",".242",".283",".258",".366",".500",".361","127","1.9","20.0","-7.4","2.8","16376"
"Andrew Benintendi","Red Sox","112","518","12","62","63","9","9.7 %","23.2 %",".181",".359",".284",".359",".465",".348","113","2.8","11.2","-0.6","2.8","17901"
"Jose Ramirez","Indians","122","521","20","65","74","24","9.6 %","13.8 %",".207",".257",".253",".324",".460",".327","99","6.6","5.9","4.6","2.8","13510"
"Jonathan Villar","Orioles","126","548","16","83","55","28","9.3 %","24.6 %",".171",".349",".276",".346",".447",".337","109","7.9","14.5","-5.0","2.8","10071"
"Bryan Reynolds","Pirates","102","404","13","65","50","1","9.7 %","22.0 %",".194",".397",".323",".396",".517",".384","139","0.0","20.8","-5.9","2.7","19326"
"Starling Marte","Pirates","114","513","22","85","73","22","3.7 %","15.8 %",".215",".309",".291",".333",".505",".348","115","2.7","13.1","-2.3","2.7","9241"
"Jose Altuve","Astros","91","406","23","68","56","5","8.1 %","14.3 %",".245",".304",".302",".362",".546",".377","141","-3.9","17.5","-4.4","2.6","5417"
"J.D. Martinez","Red Sox","116","526","28","78","75","1","10.3 %","20.0 %",".250",".344",".308",".383",".558",".387","139","-4.3","21.9","-13.7","2.6","6184"
"Mike Moustakas","Brewers","116","499","30","70","71","3","7.8 %","16.6 %",".263",".261",".263",".329",".525",".352","114","-1.7","7.7","2.5","2.6","4892"
"Manny Machado","Padres","122","527","26","67","71","4","8.7 %","19.9 %",".205",".289",".266",".334",".470",".337","109","-1.7","4.3","4.6","2.5","11493"
"Kolten Wong","Cardinals","122","442","9","46","47","17","9.0 %","14.9 %",".128",".308",".274",".358",".402",".325","100","5.5","5.6","5.5","2.5","12532"
"David Fletcher","Angels","121","502","5","68","42","8","8.4 %","9.4 %",".109",".307",".284",".343",".393",".317","100","-2.0","-2.2","10.1","2.5","17992"
"Eugenio Suarez","Reds","124","518","34","67","77","3","10.0 %","27.8 %",".270",".289",".254",".338",".524",".354","115","-4.7","5.9","2.4","2.4","12552"
"Amed Rosario","Mets","121","505","12","61","54","15","5.3 %","19.8 %",".159",".348",".293",".332",".452",".329","106","1.2","5.3","3.3","2.4","15518"
"Jean Segura","Phillies","113","490","11","66","52","7","5.1 %","11.6 %",".150",".304",".284",".331",".434",".325","98","4.8","3.7","5.3","2.4","5933"
"Adam Eaton","Nationals","119","534","11","85","39","13","10.3 %","15.4 %",".146",".331",".290",".376",".436",".349","112","2.5","10.9","-3.5","2.4","11205"
"Whit Merrifield","Royals","127","578","14","84","64","16","6.9 %","16.4 %",".175",".341",".299",".351",".474",".345","114","1.0","11.4","-6.9","2.4","11281"
"Hunter Renfroe","Padres","114","419","31","58","61","4","8.6 %","29.1 %",".300",".249",".233",".298",".533",".338","109","-1.0","4.0","6.7","2.4","15464"
"Jorge Soler","Royals","127","526","35","69","88","1","11.0 %","26.2 %",".286",".289",".258",".351",".544",".370","131","-2.4","18.3","-12.6","2.3","14221"
"Corey Seager","Dodgers","101","410","12","62","55","1","9.5 %","18.0 %",".192",".306",".269",".344",".462",".338","111","3.0","9.0","1.4","2.3","13624"
"Rhys Hoskins","Phillies","124","545","24","64","70","1","17.2 %","22.9 %",".238",".274",".238",".379",".476",".361","122","-2.1","13.7","-8.3","2.2","16472"
"Trea Turner","Nationals","86","401","13","65","41","26","8.2 %","21.2 %",".195",".352",".294",".357",".489",".354","115","4.7","12.8","-2.7","2.2","16252"
"Josh Bell","Pirates","121","520","31","84","98","0","11.5 %","20.4 %",".299",".297",".279",".363",".579",".380","136","-4.2","20.6","-14.6","2.2","13145"
"Edwin Encarnacion","- - -","101","451","30","75","76","0","12.6 %","21.3 %",".279",".238",".240",".346",".518",".359","127","1.3","17.0","-9.9","2.2","2151"
"Charlie Blackmon","Rockies","107","491","27","95","70","2","5.7 %","17.3 %",".283",".357",".329",".375",".612",".405","135","-2.1","20.9","-14.0","2.2","7859"
"Trey Mancini","Orioles","120","524","29","82","73","1","9.2 %","21.0 %",".254",".301",".276",".347",".530",".363","127","-1.2","16.8","-12.3","2.2","15149"
"Austin Meadows","Rays","104","441","21","52","62","9","8.6 %","24.3 %",".241",".330",".276",".347",".518",".357","126","-1.4","13.2","-7.4","2.1","15672"
"Marcell Ozuna","Cardinals","94","391","22","61","67","12","10.2 %","20.2 %",".241",".277",".261",".338",".501",".349","115","2.6","10.6","-2.4","2.0","10324"
"Daniel Vogelbach","Mariners","115","456","27","64","68","0","16.2 %","25.4 %",".257",".241",".222",".351",".479",".349","123","0.3","13.6","-9.0","2.0","14130"
"Willy Adames","Rays","119","466","15","55","37","4","7.7 %","26.2 %",".156",".314",".248",".311",".403",".305","91","1.8","-3.8","7.6","1.9","15986"
"Miguel Rojas","Marlins","108","419","4","44","33","6","7.2 %","12.4 %",".095",".322",".289",".344",".384",".313","95","-3.5","-6.4","12.3","1.9","7802"
"Niko Goodrum","Tigers","110","466","11","60","44","12","9.7 %","29.2 %",".167",".341",".249",".322",".416",".314","94","6.9","3.1","-0.4","1.9","12092"
"Freddy Galvis","- - -","123","503","21","61","60","4","4.2 %","24.3 %",".186",".328",".276",".305",".461",".319","97","-0.1","-1.8","3.2","1.8","6609"
"Joc Pederson","Dodgers","115","412","25","61","56","1","9.7 %","21.4 %",".252",".241",".235",".328",".488",".340","112","0.0","6.5","-1.1","1.8","11899"
"Kole Calhoun","Angels","121","504","27","75","62","3","10.9 %","24.4 %",".241",".257",".232",".324",".473",".330","109","-1.2","4.3","-3.1","1.8","11200"
"Dansby Swanson","Braves","100","431","17","64","57","7","8.4 %","20.4 %",".203",".298",".265",".330",".468",".333","102","3.1","4.2","0.5","1.8","18314"
"Paul Goldschmidt","Cardinals","124","523","28","75","68","1","9.9 %","25.4 %",".213",".301",".258",".334",".471",".338","109","1.9","7.9","-6.5","1.8","9218"
"Nicholas Castellanos","- - -","118","518","18","72","46","2","6.9 %","21.6 %",".218",".341",".287",".340",".505",".351","118","-2.0","10.5","-10.1","1.8","11737"
"Victor Robles","Nationals","120","473","16","68","53","19","5.7 %","23.7 %",".185",".301",".250",".323",".435",".320","93","2.7","-1.9","4.5","1.8","18363"
"David Peralta","Diamondbacks","97","416","12","48","57","0","8.2 %","20.7 %",".189",".333",".279",".346",".468",".341","107","-1.7","2.2","2.2","1.7","2136"
"Hanser Alberto","Orioles","107","412","8","41","40","4","2.7 %","9.5 %",".117",".335",".318",".339",".435",".327","103","-0.2","1.2","1.4","1.6","11902"
"Luke Voit","Yankees","94","416","19","60","54","0","13.9 %","27.4 %",".215",".359",".278",".392",".493",".375","134","-3.9","14.3","-12.2","1.6","14811"
"Shin-Soo Choo","Rangers","119","521","20","76","47","10","11.7 %","24.0 %",".204",".332",".270",".374",".474",".360","118","2.5","14.4","-16.1","1.6","3174"
"Jason Heyward","Cubs","116","465","18","59","49","7","10.8 %","19.1 %",".188",".298",".266",".348",".454",".337","106","1.7","5.3","-4.4","1.6","4940"
"Elvis Andrus","Rangers","114","504","9","60","58","25","5.2 %","14.5 %",".124",".309",".279",".317",".403",".305","81","4.1","-8.2","6.6","1.6","8709"
"Avisail Garcia","Rays","101","436","17","49","57","9","6.4 %","23.6 %",".180",".335",".278",".335",".459",".334","110","-2.6","3.1","-2.3","1.6","5760"
"Christian Walker","Diamondbacks","119","474","22","65","56","7","10.8 %","26.2 %",".213",".313",".257",".344",".470",".342","107","2.0","6.6","-6.4","1.5","13419"
"Kevin Kiermaier","Rays","104","398","12","50","47","18","5.3 %","21.1 %",".179",".283",".243",".285",".422",".294","83","3.0","-5.4","7.1","1.5","11038"
"Marwin Gonzalez","Twins","104","422","14","47","47","1","7.1 %","20.6 %",".156",".309",".265",".327",".421",".318","95","0.6","-2.3","3.0","1.5","5497"
"Ryan Braun","Brewers","116","415","18","56","55","9","6.3 %","20.7 %",".214",".327",".286",".341",".500",".351","113","-0.4","7.0","-5.6","1.5","3410"
"Brian Dozier","Nationals","115","421","19","49","45","3","12.4 %","22.6 %",".209",".267",".236",".337",".445",".332","100","-0.8","-0.6","1.6","1.4","9810"
"Jose Iglesias","Reds","114","413","8","51","47","5","3.6 %","13.6 %",".122",".323",".293",".322",".415",".310","86","-1.0","-8.5","9.5","1.4","10231"
"Dexter Fowler","Cardinals","114","415","14","46","49","7","11.3 %","24.8 %",".177",".310",".250",".348",".427",".332","104","2.3","4.7","-3.8","1.4","4062"
"David Dahl","Rockies","100","413","15","67","61","4","6.8 %","26.6 %",".222",".386",".302",".353",".524",".363","108","0.7","5.1","-4.2","1.4","13744"
"Leury Garcia","White Sox","113","496","7","76","34","14","3.4 %","22.6 %",".104",".354",".281",".311",".384",".297","84","3.7","-6.2","3.1","1.4","5913"
"Kevin Pillar","- - -","126","497","18","67","69","10","2.8 %","14.3 %",".189",".271",".261",".290",".450",".304","87","2.6","-5.8","3.7","1.4","12434"
"Eddie Rosario","Twins","107","461","27","74","85","3","3.9 %","13.7 %",".233",".275",".284",".308",".517",".338","108","0.3","5.2","-8.0","1.3","12155"
"Cesar Hernandez","Phillies","124","505","8","54","53","7","5.7 %","14.5 %",".114",".319",".283",".331",".397",".310","88","1.6","-6.2","2.6","1.3","10556"
"Ryan McMahon","Rockies","107","406","17","56","63","5","11.1 %","28.6 %",".200",".351",".269",".350",".469",".346","96","0.4","-1.5","1.1","1.3","15112"
"Asdrubal Cabrera","- - -","103","408","13","51","61","4","11.0 %","21.8 %",".166",".287",".245",".331",".411",".316","88","-1.4","-7.5","5.8","1.2","4962"
"Jason Kipnis","Indians","102","436","13","42","58","6","8.3 %","17.0 %",".160",".280",".255",".316",".415",".308","86","0.4","-7.5","4.4","1.2","9776"
"Yasiel Puig","- - -","116","472","24","60","71","16","6.1 %","22.0 %",".221",".291",".263",".316",".484",".332","101","-0.7","-0.1","-3.6","1.2","14225"
"Robbie Grossman","Athletics","107","393","6","46","34","8","13.0 %","17.3 %",".115",".296",".251",".349",".366",".313","96","0.1","-2.0","-1.1","1.0","5254"
"Kyle Schwarber","Cubs","119","467","28","60","64","1","12.2 %","25.5 %",".259",".246",".229",".325",".488",".336","105","-1.7","1.4","-6.2","1.0","16478"
"Lorenzo Cain","Brewers","115","508","8","61","40","15","8.3 %","16.9 %",".107",".294",".254",".321",".361",".296","78","1.1","-13.8","7.6","1.0","9077"
"Adam Frazier","Pirates","116","470","6","58","32","3","6.8 %","12.1 %",".119",".292",".264",".325",".383",".302","85","0.4","-9.0","2.6","0.9","15223"
"Jackie Bradley Jr.","Red Sox","115","457","15","54","49","7","9.6 %","25.4 %",".181",".276",".224",".317",".406",".308","85","1.3","-7.3","0.1","0.9","12984"
"Randal Grichuk","Blue Jays","119","495","23","59","58","2","6.5 %","26.7 %",".207",".283",".238",".293",".445",".309","91","-2.0","-7.6","-1.0","0.9","10243"
"Todd Frazier","Mets","101","389","16","45","50","1","7.2 %","22.9 %",".184",".266",".232",".303",".416",".306","92","-0.7","-5.1","1.0","0.8","785"
"Jose Abreu","White Sox","124","536","28","63","94","2","4.9 %","22.2 %",".223",".303",".273",".313",".496",".333","109","-5.5","0.4","-10.9","0.8","15676"
"Wilson Ramos","Mets","110","410","13","43","61","0","9.3 %","12.9 %",".133",".295",".279",".346",".412",".322","102","-4.8","-3.9","-1.4","0.8","1433"
"Alex Gordon","Royals","119","509","12","66","63","5","7.7 %","15.9 %",".144",".289",".260",".333",".404",".314","93","-1.8","-6.4","-4.4","0.7","5209"
"Yolmer Sanchez","White Sox","115","419","2","45","30","5","7.2 %","22.0 %",".071",".326",".251",".312",".323",".278","72","1.8","-13.5","5.5","0.7","11602"
"Eric Hosmer","Padres","124","527","18","63","82","0","6.5 %","20.9 %",".164",".333",".285",".332",".450",".328","103","-3.7","-1.9","-9.5","0.6","3516"
"Renato Nunez","Orioles","120","484","27","62","72","0","7.4 %","24.0 %",".232",".262",".239",".306",".472",".324","100","0.5","0.8","-12.0","0.6","14503"
"Justin Smoak","Blue Jays","102","424","19","48","52","0","16.5 %","20.8 %",".201",".227",".213",".351",".414",".332","106","-3.5","0.0","-9.2","0.6","9054"
"Joey Votto","Reds","113","486","12","60","39","4","11.7 %","20.6 %",".149",".315",".262",".352",".410",".328","98","-1.9","-3.3","-7.0","0.6","4314"
"Nomar Mazara","Rangers","109","443","17","65","62","4","5.9 %","22.6 %",".197",".313",".268",".318",".466",".326","95","-0.3","-3.3","-7.6","0.5","14553"
"Matt Carpenter","Cardinals","96","397","11","47","33","6","12.8 %","25.7 %",".152",".269",".214",".323",".366",".301","84","0.1","-8.2","-0.5","0.4","8090"
"Colin Moran","Pirates","119","391","11","37","64","0","6.4 %","23.5 %",".155",".349",".283",".330",".438",".321","97","-1.0","-2.4","-6.7","0.4","16909"
"Domingo Santana","Mariners","115","496","21","63","69","8","9.9 %","32.1 %",".193",".350",".256",".332",".449",".330","110","0.8","7.1","-21.6","0.3","10348"
"Mallex Smith","Mariners","105","459","5","56","31","34","7.0 %","25.9 %",".115",".316",".235",".301",".350",".283","78","7.3","-5.7","-8.1","0.2","13608"
"Adam Jones","Diamondbacks","115","449","14","61","57","2","5.1 %","18.3 %",".161",".304",".270",".317",".431",".315","90","-1.7","-8.0","-4.7","0.2","6368"
"Franmil Reyes","- - -","118","424","29","48","53","0","7.8 %","28.1 %",".255",".259",".239",".295",".494",".323","99","-3.4","-3.9","-8.7","0.1","14566"
"C.J. Cron","Twins","99","411","20","42","66","0","6.1 %","20.0 %",".216",".280",".259",".319",".475",".330","103","-5.0","-3.5","-9.6","0.1","12546"
"Nick Markakis","Braves","104","416","9","57","55","2","10.3 %","12.7 %",".145",".307",".284",".358",".429",".336","103","-1.8","0.1","-12.7","0.1","5930"
"Josh Reddick","Astros","113","449","10","45","37","4","6.2 %","11.4 %",".117",".271",".260",".302",".377",".288","81","0.3","-10.8","-4.4","0.1","3892"
"Jurickson Profar","Athletics","107","398","15","45","51","7","6.8 %","15.3 %",".176",".204",".204",".269",".380",".274","69","1.4","-14.3","0.1","0.0","10815"
"Rougned Odor","Rangers","111","450","21","58","67","8","8.9 %","31.6 %",".215",".252",".203",".281",".418",".293","73","-0.1","-16.0","-0.3","0.0","12282"
"Starlin Castro","Marlins","124","518","11","41","58","2","3.5 %","16.6 %",".118",".294",".262",".286",".380",".280","74","-2.4","-20.7","2.4","-0.1","4579"
"Orlando Arcia","Brewers","119","436","14","47","46","7","8.5 %","20.2 %",".140",".257",".228",".292",".368",".278","66","1.5","-18.2","2.6","-0.1","13185"
"Brandon Belt","Giants","121","489","14","62","48","3","14.3 %","20.2 %",".160",".264",".228",".342",".387",".316","95","-2.8","-6.1","-11.7","-0.2","10264"
"Albert Pujols","Angels","100","414","19","43","73","1","7.5 %","13.0 %",".193",".238",".247",".304",".440",".310","95","-3.4","-5.9","-10.5","-0.2","1177"
"Joe Panik","- - -","113","421","3","42","30","4","9.0 %","9.5 %",".083",".262",".243",".314",".325",".280","71","-2.7","-18.7","2.9","-0.2","11936"
"Brandon Crawford","Giants","115","443","9","46","49","3","8.8 %","22.3 %",".123",".273",".224",".296",".347",".276","69","-0.7","-19.0","2.2","-0.2","5343"
"Miguel Cabrera","Tigers","111","451","9","32","50","0","8.2 %","20.2 %",".111",".341",".283",".344",".393",".316","95","-5.3","-8.2","-11.1","-0.3","1744"
"Ian Desmond","Rockies","111","393","14","53","56","3","7.4 %","24.7 %",".209",".316",".259",".316",".468",".327","84","-0.8","-9.0","-9.0","-0.5","6885"
"Khris Davis","Athletics","104","417","17","48","53","0","8.4 %","26.6 %",".156",".263",".220",".290",".376",".283","76","-1.4","-14.3","-10.4","-1.0","9112"
